wavenum,path,objective,soltime
42974,CC-08 → F-16-11 → F-16-13 → F-18-12 → F-20-13 → F-22-11 → F-14-13 → CC-08,90.6,68.16372799873352
42826,CC-08 → I-09-13 → H-16-11 → CC-08,71.99999999999999,103.67081689834595
42630,CC-08 → G-13-12 → H-06-13 → CC-08,60.0,18.120347023010254
42512,CC-08 → J-22-11 → I-22-11 → CC-08,91.39999999999998,10.330722093582153
42332,No solution found.,No solution found.,300.0196499824524
42321,CC-08 → G-13-11 → G-19-12 → G-17-12 → CC-08,64.6,10.982099056243896
42136,No solution found.,No solution found.,300.01215505599976
41684,CC-08 → I-08-13 → H-04-13 → CC-08,74.79999999999998,17.875410795211792
41614,CC-08 → I-08-13 → J-22-11 → CC-08,87.99999999999997,13.709487915039062
41559,CC-08 → J-22-11 → H-06-13 → CC-08,85.99999999999997,12.963119983673096
41372,CC-08 → I-08-13 → I-05-13 → CC-08,64.80000000000001,10.434363842010498
